"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2021-22","Fall","NSEG","3145","Fundamentals of Nuclear Engr","Pierson","3.48","46","17.2","14.9","6.9","6.9","0","2.3","2.3","1.1","1.1","1.1","0","0","87","89072","  3"
"2021-22","Spring","CHE","3144","Mass Transfer","Martin","3.11","13.8","18.4","16.1","27.6","10.3","3.4","5.7","2.3","0","1.1","0","1.1","0","87","12483","  3"
"2022-23","Fall","CS","3604","Professionalism in Computing","McCrickard","3.65","69","8","3.4","5.7","5.7","3.4","1.1","2.3","0","1.1","0","0","0","87","83289","  3"
"2016-17","Fall","ECE","3106","Electromagnetic Fields","Zhu","2.74","9.1","11.4","17","20.5","5.7","9.1","10.2","6.8","5.7","2.3","0","2.3","2","88","82647","  3"
"2017-18","Fall","CS","2505","Intro Computer Organization","Wenskovitch","2.59","11.4","2.3","8","33","4.5","4.5","21.6","3.4","0","8","1.1","2.3","2","88","82551","  3"
"2017-18","Fall","ECE","2704","Signals and Systems","Poon","1.96","5.7","3.4","1.1","11.4","12.5","10.2","12.5","17","0","6.8","6.8","12.5","7","88","82741","  3"
"2017-18","Fall","CS","1114","Intro to Software Design","Kotut","2.59","13.6","13.6","8","13.6","10.2","6.8","13.6","2.3","6.8","3.4","0","8","13","88","90004","  3"
"2017-18","Spring","CS","3214","Computer Systems","Back","2.77","13.6","10.2","5.7","26.1","12.5","5.7","8","8","5.7","3.4","1.1","0","5","88","12724","  3"
"2018-19","Spring","ISE","4304","Global Issues Ind Mgt","Haskins Lisle","3.8","60.2","26.1","10.2","1.1","1.1","1.1","0","0","0","0","0","0","0","88","15554","  3"
"2019-20","Fall","AOE","3014","Fluid Dynamics for AOE","Roy","2.44","6.8","6.8","10.2","20.5","8","8","13.6","9.1","4.5","5.7","3.4","3.4","1","88","80338","  3"
"2020-21","Fall","AOE","3154","Astromechanics","England","3.38","18.2","26.1","34.1","6.8","5.7","5.7","3.4","0","0","0","0","0","1","88","80389","  3"
"2020-21","Fall","CEE","3274","Intro Land Development","Young","3.24","19.3","22.7","15.9","17","12.5","5.7","4.5","1.1","1.1","0","0","0","0","88","81982","  3"
"2020-21","Fall","ISE","4004","Theory of Organization","Kleiner","3.86","81.8","8","4.5","1.1","2.3","1.1","1.1","0","0","0","0","0","0","88","86053","  3"
"2020-21","Fall","ECE","2544","Fundamentals Digital Systems","Yi","3.35","55.7","2.3","4.5","13.6","4.5","8","6.8","0","1.1","0","3.4","0","2","88","92058","  3"
"2020-21","Spring","CHE","3144","Mass Transfer","Martin","2.81","11.4","11.4","11.4","18.2","17","6.8","10.2","8","0","5.7","0","0","1","88","12444","  3"
"2020-21","Spring","CS","3724","Human-Computr Intrctn","McCrickard","3.91","88.6","4.5","2.3","1.1","3.4","0","0","0","0","0","0","0","0","88","13169","  3"
"2020-21","Spring","ESM","2204","Mechanics of Deformable Bodies","Galitz","3.04","31.8","9.1","12.5","11.4","5.7","8","9.1","5.7","1.1","3.4","2.3","0","4","88","20677","  3"
"2021-22","Fall","ECE","2024","Circuits and Devices","Centeno","2.71","14.8","9.1","6.8","15.9","13.6","11.4","14.8","4.5","2.3","4.5","1.1","1.1","10","88","83418","  3"
"2021-22","Fall","ECE","2544","Fundamentals Digital Systems","Cooper","3.31","48.9","8","8","13.6","5.7","4.5","6.8","0","0","0","0","4.5","10","88","83433","  3"
"2021-22","Spring","AOE","4604","Booster Design","Artis","3.54","22.7","26.1","43.2","8","0","0","0","0","0","0","0","0","2","88","10442","  3"
"2021-22","Spring","CS","3604","Professionalism in Computing","Dunlap","3.73","72.7","10.2","5.7","3.4","2.3","1.1","1.1","1.1","1.1","0","1.1","0","1","88","13284","  3"
"2021-22","Spring","CS","3704","Intermed Software Des","Meng","3.5","25","35.2","21.6","8","4.5","4.5","1.1","0","0","0","0","0","2","88","13290","  3"
"2021-22","Spring","ME","3624","Mechanical Design","Lattimer","2.85","16.7","15.2","12.1","16.7","7.6","3","15.2","4.5","3","3","0","3","1","66","17266","  4"
"2022-23","Fall","CS","3604","Professionalism in Computing","Dunlap","3.76","78.4","9.1","3.4","1.1","1.1","2.3","0","2.3","1.1","0","1.1","0","0","88","83290","  3"
"2022-23","Fall","ECE","2544","Fundamentals Digital Systems","Cooper","3.11","34.1","12.5","10.2","15.9","3.4","5.7","11.4","0","1.1","0","1.1","4.5","10","88","83601","  3"
"2022-23","Spring","ECE","3564","Intro to Computer Networking","Gerdes","3.29","19.3","26.1","17","18.2","11.4","1.1","3.4","0","2.3","1.1","0","0","3","88","13794","  3"
"2022-23","Spring","ME","3534","Controls Engineering I","Kurdila","2.97","4.5","18.2","27.3","16.7","16.7","9.1","0","3","0","0","0","4.5","0","66","17470","  4"
"2023-24","Fall","CS","3604","Professionalism in Computing","Dunlap","3.93","84.1","12.5","1.1","1.1","1.1","0","0","0","0","0","0","0","0","88","83370","  3"
"2023-24","Fall","ENGR","3124","Green Engineering","McGinnis","3.54","50","19.3","11.4","5.7","5.7","0","2.3","2.3","1.1","2.3","0","0","3","88","85208","  3"
"2016-17","Fall","ISE","3414","Prob Operations Research","Travis","3.14","10.1","18","23.6","29.2","7.9","6.7","1.1","0","0","2.2","0","1.1","0","89","84834","  3"
"2016-17","Fall","ISE","3614","Human Factors Ergon Engr","Lee","3.66","29.2","46.1","14.6","9","1.1","0","0","0","0","0","0","0","0","89","84837","  3"
"2016-17","Fall","ISE","4204","Production Plan Invent Ctrl","Cherbaka","3.14","12.4","19.1","13.5","30.3","12.4","5.6","1.1","5.6","0","0","0","0","0","89","84844","  3"
"2016-17","Spring","AOE","3114","Compressible Aerodynamics","Devenport","3.17","23.6","11.2","19.1","20.2","12.4","3.4","4.5","3.4","1.1","0","0","1.1","2","89","10372","  3"
"2016-17","Spring","ENGR","4134","Env Life Cycle Assessment","McGinnis","3.53","38.2","22.5","20.2","11.2","1.1","3.4","2.2","0","0","1.1","0","0","0","89","13993","  3"
"2016-17","Spring","CS","2114","Softw Des & Data Structures","Ellis","3.2","22.5","13.5","23.6","20.2","5.6","6.7","2.2","2.2","1.1","1.1","0","1.1","8","89","18137","  3"
"2017-18","Fall","ENGR","3124","Green Engineering","Scott","3.27","21.3","23.6","16.9","19.1","7.9","3.4","4.5","1.1","1.1","0","0","1.1","1","89","83967","  3"
"2017-18","Fall","ISE","3414","Prob Operations Research","Taaffe","2.8","5.6","7.9","13.5","27","15.7","13.5","7.9","6.7","0","2.2","0","0","0","89","85004","  3"
"2017-18","Spring","CS","3604","Professionalism in Computing","Dunlap","3.96","95.5","2.2","1.1","0","0","0","1.1","0","0","0","0","0","0","89","12728","  3"
"2018-19","Fall","AOE","3014","Fluid Dynamics for AOE","Roy","2.06","5.6","9","4.5","3.4","6.7","7.9","18","13.5","9","18","1.1","3.4","0","89","80327","  3"
"2018-19","Fall","CS","4104","Data and Algorithm Analysis","Raghvendra","2.77","12.4","7.9","14.6","7.9","23.6","14.6","9","4.5","0","1.1","3.4","1.1","3","89","82723","  3"
"2018-19","Fall","ISE","3624","Industrial Ergonomics","Madigan","2.73","4.5","7.9","16.9","16.9","21.3","12.4","10.1","6.7","1.1","0","1.1","1.1","1","89","85356","  3"
"2018-19","Spring","AOE","2024","Thin-Walled Structures","Gilbert","3.28","16.9","25.8","16.9","23.6","9","0","5.6","1.1","0","1.1","0","0","1","89","10309","  3"
"2018-19","Spring","ISE","3004","Industrial Cost Control","Kannan","3.77","71.9","10.1","6.7","5.6","2.2","0","2.2","1.1","0","0","0","0","1","89","15538","  3"
"2018-19","Spring","ME","4534","Land Vehicle Dynamics","Ahmadian","3.46","34.8","21.3","11.2","24.7","2.2","1.1","3.4","0","0","1.1","0","0","0","89","16191","  3"
"2019-20","Fall","ENGR","3124","Green Engineering","McGinnis","3.75","59.6","16.9","13.5","7.9","2.2","0","0","0","0","0","0","0","0","89","84381","  3"
"2019-20","Fall","ISE","3624","Industrial Ergonomics","Madigan","3.14","13.5","10.1","29.2","24.7","10.1","4.5","6.7","0","1.1","0","0","0","0","89","85624","  3"
"2020-21","Fall","CHE","4104","Process Materials","Kiran","3.02","14.6","6.7","14.6","34.8","12.4","4.5","5.6","6.7","0","0","0","0","1","89","82373","  3"
"2020-21","Fall","CS","2505","Intro Computer Organization","McQuain","3.17","30.3","7.9","12.4","24.7","2.2","5.6","14.6","1.1","0","1.1","0","0","3","89","82992","  3"
"2020-21","Spring","ESM","2304","Dynamics","Chang","2.68","12.4","13.5","9","11.2","16.9","11.2","2.2","9","5.6","4.5","3.4","1.1","6","89","15066","  3"
"2021-22","Fall","CS","3114","Data Structures and Algorithms","Cao","3.03","13.5","15.7","24.7","16.9","9","9","5.6","1.1","0","1.1","0","3.4","12","89","83102","  3"
"2021-22","Spring","CS","3744","Intro GUI Programming/Graphics","Gusukuma","3.36","38.2","24.7","12.4","9","3.4","3.4","0","2.2","0","3.4","0","3.4","4","89","13294","  3"
"2021-22","Spring","ECE","2214","Physical Electronics","Hudait","3.6","33.7","31.5","21.3","6.7","5.6","1.1","0","0","0","0","0","0","0","89","13601","  3"
"2021-22","Spring","ECE","3574","Applied Software Design","Min","3.42","44.9","20.2","9","11.2","5.6","0","2.2","2.2","0","0","1.1","3.4","2","89","13674","  3"
"2021-22","Spring","ESM","2204","Mechanics of Deformable Bodies","Chang","3.05","28.1","12.4","9","19.1","9","9","3.4","2.2","0","3.4","1.1","3.4","7","89","15179","  3"
"2022-23","Fall","CS","5525","Data Analytics","Skarzynski","3.91","97.8","0","0","0","0","0","0","0","0","0","0","2.2","0","89","83410","  3"
"2022-23","Fall","ECE","2024","Circuits and Devices","Centeno","2.64","14.6","5.6","11.2","15.7","12.4","12.4","14.6","0","3.4","3.4","2.2","4.5","6","89","83588","  3"
"2022-23","Fall","ECE","2544","Fundamentals Digital Systems","Thweatt","3.01","27","15.7","10.1","12.4","9","5.6","11.2","0","2.2","1.1","1.1","4.5","7","89","83602","  3"
"2022-23","Fall","CS","1114","Intro to Software Design","Senger","2.73","24.7","13.5","7.9","7.9","7.9","7.9","11.2","2.2","3.4","4.5","0","9","25","89","90768","  3"
"2022-23","Spring","CS","3604","Professionalism in Computing","Dunlap","3.79","68.5","19.1","2.2","2.2","5.6","1.1","0","1.1","0","0","0","0","0","89","13385","  3"
"2022-23","Spring","ISE","2024","Prob Foundations for ISEs","Buyuktahtakin Toy","3.5","41.6","14.6","15.7","15.7","6.7","3.4","2.2","0","0","0","0","0","0","89","16694","  3"
"2022-23","Spring","ISE","4654","Principles Industrial Hygiene","Dickerson","3.44","30.3","25.8","16.9","16.9","1.1","5.6","1.1","1.1","0","1.1","0","0","1","89","16743","  3"
"2023-24","Fall","AOE","3154","Astromechanics","England","3.27","23.6","19.1","22.5","11.2","7.9","6.7","7.9","1.1","0","0","0","0","0","89","80443","  3"
"2023-24","Fall","CEE","4804","Prof & Legal Issues Civil Eng","Branscome","3.79","59.6","25.8","6.7","4.5","3.4","0","0","0","0","0","0","0","0","89","82328","  3"
"2023-24","Fall","ECE","2514","Computational Engineering","Soysal","3.02","41.6","10.1","7.9","7.9","7.9","4.5","3.4","1.1","3.4","4.5","0","7.9","2","89","83672","  3"
"2021-22","Spring","ME","3534","Controls Engineering I","Akbari Hamed","3.01","9","14.9","17.9","29.9","10.4","7.5","3","4.5","0","0","3","0","1","67","17247","  4"
"2021-22","Spring","ME","3534","Controls Engineering I","Ben-Tzvi","3.26","25.4","20.9","14.9","13.4","14.9","3","4.5","0","1.5","0","0","1.5","1","67","17251","  4"
"2021-22","Spring","ME","3534","Controls Engineering I","Ansari","3.52","55.2","14.9","13.4","6","0","4.5","0","0","1.5","0","1.5","3","1","67","17256","  4"
"2021-22","Spring","ME","3624","Mechanical Design","Li","3.11","16.4","13.4","26.9","19.4","7.5","6","3","3","1.5","1.5","0","1.5","0","67","17265","  4"
"2022-23","Spring","ME","3534","Controls Engineering I","Hardy","2.87","7.5","11.9","19.4","19.4","10.4","16.4","9","1.5","1.5","1.5","1.5","0","1","67","17469","  4"
"2022-23","Spring","ME","3534","Controls Engineering I","Kurdila","3.3","20.9","28.4","13.4","11.9","16.4","4.5","1.5","1.5","0","1.5","0","0","1","67","17474","  4"
"2023-24","Fall","ENGE","1414","Foundations of Engr Practice","Van Tyne","3.82","79.1","9","3","4.5","1.5","1.5","0","0","0","1.5","0","0","1","67","90637","  4"
"2016-17","Fall","ECE","3254","Industrial Electronics","Broadwater","3.5","62.2","3.3","3.3","18.9","1.1","1.1","6.7","0","1.1","1.1","0","1.1","5","90","82649","  3"
"2016-17","Spring","AOE","3094","Materials for Aero & Ocean Eng","Clark","3.14","20","15.6","21.1","20","7.8","3.3","6.7","2.2","0","1.1","0","2.2","2","90","10370","  3"
"2017-18","Fall","ESM","2104","Statics","Davison","2.7","24.4","10","3.3","13.3","5.6","11.1","10","11.1","1.1","2.2","2.2","5.6","26","90","84019","  3"
"2017-18","Fall","ISE","3434","Determ Operations Research II","Cherbaka","3.47","26.7","24.4","24.4","17.8","2.2","4.4","0","0","0","0","0","0","0","90","85006","  3"
"2017-18","Spring","ENGR","4134","Env Life Cycle Assessment","McGinnis","3.5","32.2","22.2","24.4","13.3","3.3","3.3","0","0","1.1","0","0","0","0","90","14181","  3"
"2017-18","Spring","ESM","2304","Dynamics","Chang","3.06","18.9","15.6","15.6","15.6","11.1","8.9","5.6","4.4","3.3","1.1","0","0","6","90","14254","  3"
"2017-18","Spring","ISE","4214","Lean Manufacturing","Shewchuk","3.49","46.7","13.3","14.4","13.3","3.3","2.2","5.6","0","0","0","0","1.1","0","90","15256","  3"
"2018-19","Fall","ENGR","3124","Green Engineering","McGinnis","3.62","45.6","22.2","17.8","8.9","3.3","0","1.1","0","0","1.1","0","0","1","90","84220","  3"
"2018-19","Fall","ISE","3614","Human Factors Ergon Engr","Lau","3.23","6.7","28.9","24.4","23.3","5.6","5.6","4.4","1.1","0","0","0","0","0","90","85355","  3"
"2018-19","Spring","ENGR","4134","Env Life Cycle Assessment","McGinnis","3.28","11.1","31.1","23.3","20","6.7","1.1","4.4","1.1","0","0","0","1.1","0","90","14358","  3"
"2018-19","Spring","ISE","3214","Facilities and Logistics","Wang","3.75","63.3","14.4","13.3","5.6","1.1","0","2.2","0","0","0","0","0","0","90","15539","  3"
"2018-19","Spring","ISE","4404","Statistical Quality Control","Li","3.94","83.3","14.4","1.1","1.1","0","0","0","0","0","0","0","0","0","90","15556","  3"
"2019-20","Fall","CEE","4804","Prof & Legal Issues Civil Eng","White","3.62","53.3","23.3","5.6","8.9","3.3","2.2","1.1","0","0","1.1","0","1.1","0","90","81867","  3"
"2019-20","Fall","CS","3604","Professionalism in Computing","Dunlap","3.64","65.6","12.2","4.4","4.4","6.7","1.1","3.3","0","1.1","0","0","1.1","0","90","82825","  3"
"2019-20","Fall","ISE","3414","Prob Operations Research","Taaffe","3.03","15.6","23.3","11.1","8.9","16.7","12.2","5.6","3.3","0","1.1","0","2.2","0","90","85617","  3"
"2019-20","Fall","ISE","3624","Industrial Ergonomics","Madigan","3.03","10","8.9","26.7","23.3","11.1","11.1","7.8","0","1.1","0","0","0","0","90","85623","  3"
"2019-20","Fall","ISE","4204","Production Plan Invent Ctrl","Ellis","3.64","54.4","15.6","8.9","15.6","1.1","2.2","2.2","0","0","0","0","0","0","90","85630","  3"
"2019-20","Spring","CS","2114","Softw Des & Data Structures","Haqq","3.53","43.3","20","13.3","14.4","3.3","2.2","2.2","0","0","0","0","1.1","0","90","12952","  3"
"2020-21","Fall","ECE","2514","Computational Engineering","Dunning","3.57","51.1","22.2","7.8","5.6","5.6","1.1","4.4","0","1.1","0","0","1.1","0","90","92290","  3"
"2020-21","Fall","ME","4124","CAD of Fluid-Thermal Sys","Tafti","2.89","4.4","12.2","10","36.7","13.3","10","10","1.1","1.1","0","1.1","0","0","90","92392","  3"
"2020-21","Spring","ESM","2304","Dynamics","Chang","2.87","20","10","17.8","13.3","7.8","6.7","7.8","6.7","3.3","3.3","1.1","2.2","7","90","15069","  3"
"2020-21","Spring","ISE","4204","Production Plan Inventory Ctrl","Ellis","3.68","63.3","15.6","5.6","4.4","3.3","4.4","3.3","0","0","0","0","0","0","90","16422","  3"
"2022-23","Fall","AOE","3014","Fluid Dynamics for AOE","Massa","2.92","22.2","7.8","13.3","15.6","16.7","5.6","6.7","3.3","1.1","3.3","3.3","1.1","1","90","80432","  3"
"2022-23","Fall","CHE","4104","Process Materials","Whittington","3.24","34.4","1.1","25.6","21.1","1.1","10","2.2","0","3.3","0","0","1.1","0","90","82584","  3"
"2022-23","Spring","ENGE","4736","Interdisciplinary Design","Gray","3.8","75.6","11.1","5.6","1.1","1.1","3.3","2.2","0","0","0","0","0","0","90","21326","  3"
"2017-18","Fall","ECE","2014","Engr Professionalism ECE","Ball","3.64","75","5.9","4.4","4.4","1.5","2.2","0.7","0.7","0.7","0.7","0.7","2.9","1","136","82709","  2"
"2020-21","Fall","ECE","3544","Digital Design I","Thweatt","2.89","19.1","7.4","13.2","22.1","8.8","4.4","16.2","0","2.9","4.4","1.5","0","2","68","83371","  4"
"2022-23","Fall","ME","3524","Mechanical Vibrations","Shahab","3.24","27.9","25","7.4","10.3","16.2","4.4","2.9","1.5","0","1.5","1.5","1.5","0","68","87299","  4"
"2022-23","Spring","ME","3534","Controls Engineering I","Li","3.17","38.2","13.2","4.4","13.2","7.4","5.9","10.3","0","2.9","2.9","0","1.5","0","68","17467","  4"
"2016-17","Fall","ENGR","3124","Green Engineering","McGinnis","3.62","40.7","24.2","19.8","11","4.4","0","0","0","0","0","0","0","4","91","83841","  3"
"2016-17","Fall","ISE","4004","Theory of Organization","Kleiner","3.38","24.2","23.1","22","18.7","5.5","2.2","1.1","2.2","0","1.1","0","0","1","91","84840","  3"
"2016-17","Spring","CHE","3144","Mass Transfer","Martin","2.92","7.7","11","14.3","28.6","15.4","7.7","12.1","1.1","1.1","1.1","0","0","0","91","12008","  3"
"2016-17","Spring","ISE","3214","Facilities and Logistics","Cherbaka","3.34","17.6","23.1","25.3","18.7","11","2.2","2.2","0","0","0","0","0","0","91","15011","  3"
"2016-17","Spring","ISE","3424","Discrete-Event Simulation","Travis","2.98","9.9","17.6","12.1","25.3","7.7","8.8","16.5","2.2","0","0","0","0","1","91","15019","  3"
"2017-18","Fall","ENGR","3124","Green Engineering","McGinnis","3.63","46.2","23.1","17.6","9.9","1.1","1.1","0","0","0","0","0","1.1","0","91","83968","  3"
"2017-18","Spring","CEE","4074","Const Means & Methods","Muir","3.28","22","18.7","20.9","16.5","13.2","4.4","1.1","1.1","1.1","1.1","0","0","0","91","11767","  3"
"2018-19","Spring","ESM","2204","Mechanics of Deformable Bodies","Chang","3.11","29.7","13.2","9.9","15.4","8.8","6.6","4.4","5.5","4.4","0","2.2","0","8","91","14432","  3"
"2018-19","Spring","ESM","2304","Dynamics","Chang","2.82","19.8","11","16.5","11","5.5","6.6","12.1","5.5","5.5","3.3","1.1","2.2","8","91","14442","  3"
"2019-20","Fall","ESM","2104","Statics","Gragg","2.46","9.9","12.1","9.9","12.1","6.6","13.2","13.2","7.7","2.2","1.1","2.2","9.9","6","91","84439","  3"
"2019-20","Fall","ISE","4005","Project Mgmt and System Design","Camelio","3.81","54.9","33","8.8","3.3","0","0","0","0","0","0","0","0","0","91","85627","  3"
"2020-21","Fall","ECE","2500","Computer Org & Architecture","Williams","3.68","56","17.6","11","9.9","3.3","0","2.2","0","0","0","0","0","0","91","83333","  3"
"2020-21","Fall","ISE","3414","Prob Operations Research","Taaffe","3.53","44","23.1","8.8","12.1","3.3","3.3","3.3","2.2","0","0","0","0","1","91","86048","  3"
